Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
HAM.2,1;m, h;12, 23;i15~16, i25~26;;+17a (+8);;"* Strong Aerial Tailspin
* Balcony Break
* Weapon
* Combo from 1st hit
* 6 chip damage on block
* 8 chip damage on block in heat";bbr wpn;;Anna-HAM.2,1;;r32;;
HAM.2,1,2;m, h, M;12, 23, 32;i15~16, ,i33~34;+6c;+17a (+7);;"* Reversal Break
* Spike
* Weapon
* Combo from 1st hit
* 9 chip damage on block
* 13 chip damage on block in heat";spk wpn;FC;Anna-HAM.2,1,2;Banshee Scream;r38 FC;;
HAM.2,2;m, M;12, 23;i15~16, i22~23;-14;+33a;;"* Tornado
* Weapon
* Combo from 1st hit
* Transition to r34 TOM on hit automatically
* Steel Pedal
* 6 chip damage on block
* 8 chip damage on block in heat";trn wpn;TOM;Anna-HAM.2,2;Banshee's Comb;r41;;
HAM.3;L;17;i20~21;-14;-3;+6c;"* Homing
* Cancel to CJM -7 +4 +13 r25 with B
High crush 8~";hom cs8~;CJM,FC;Anna-HAM.3;Rat Sweep;r32 FC;;
HAM.4;m,m;12,12;i16~19 i4~6;-12;+6;;"* Balcony Break
High crush 5~";bbr cs5~;FC;Anna-HAM.4;Piston Kick;r35 FC;;
HAM.1+2;M;36;i24~25;+6c;+17a (+7);;"* Reversal Break
* Balcony Break
* Spike
* Weapon
* 14 chip damage on block
* 16 chip damage on block in heat";bbr spk wpn;FC;Anna-HAM.1+2;Dullahan Smash;r38 FC;;
HAM.b+3;;;;;;;;;;Anna-HAM.b+3;;;;
LIB.d+3;m;25;i24~26;+2;+13a;+38a;High crush 6~;cs6~;;Anna-LIB.d+3;Pedalada Tron;r35;;
OTG.d+3+4;L;30;i17~18;-17;-7d;;"* Spike
* Partially restores remaining Heat time on hit";spk;;Anna-OTG.d+3+4;Heel Grind;r35;;
ROLL.3;m;27;i10~11;-9;+32d (+24);;"* Balcony Break
,High crush 1~";bbr cs1~;FC;Anna-ROLL.3;Rolling Stone;r32 FC;;
ROLL.4;h;21;i20;+7;+32a (+22);+57a;"* Tornado
* Chip damage on block
* Roll adds minimum 20f, effective startup i40
&lt;div class=&quot;plainlist&quot;&gt;
* ,High crush 39~69
* Low crush 20~35
* fs36~38&lt;/div&gt;";"trn chp &lt;div class=&quot;plainlist&quot;&gt;
* cs39~69
* js20~35
* fs36~38&lt;/div&gt;";;Anna-ROLL.4;Falling Frost;r38;;
TOM.1;m;30;i8~18;+4~+53;+20a (-6);;"* Balcony Break
* Weapon
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
* 4 chip damage on block
* 9 chip damage on block in Heat
* Power up in Heat: +10 damage";bbr wpn;;Anna-TOM.1;Machree Fascinator;r36;;
TOM.2;m;30;8~107;-1~+98;+20a (-6);;"* Balcony Break
* Weapon
* Wall Crush +10g~ minimum


* 12 chip damage on block
* 16 chip damage on block in heat
* Power up in Heat: +10 damage";bbr wpn wc;;Anna-TOM.2;Machree Penetrator;r36;;
TOM.3;;;;;;;"* Actionable after 16f
* i3? low parry: parries all lows (including Heat Smash lows)
* i3? throw parry: +0d and 25 damage
* Enter HAM with f+3 on frame 16
Parry state 3~47";ps3~47;HAM,CJM;Anna-TOM.3;Chaos Judgement;r26 CJM;;
TOM.4;L;21;i15;-13;+28d;;;;FC;Anna-TOM.4;Banquet Crasher;r32 FC;;
1+3;t;35;i12~14;-6;+0d;;"* Homing
* Throw break 1 or 2";hom;;Anna-1+3;Cruel Punishment;r31;;
2+4;t;21;i12~14;-3;+0d;;"* Homing
* Throw break 1 or 2
* Side switch on hit";hom;;Anna-2+4;Losing Face;r31;;
Back throw;t;50;;;+0d;;"* Unbreakable
* Side switch on hit";;;Anna-Back throw;Overhead Triangle Lock;;;
HAM.1+3;t;15;i11;-2;+0;;* Throw break 1+2;;;Anna-HAM.1+3;Backhand Slap;r28;;
HAM.1+3,1;t, t;15, 35;i11, ;-3;+0d;;"* Throw break 1
* 15 damage to Anna on break";;;Anna-HAM.1+3,1;Arm Break > Double Arm Lock Toss;;;
HAM.1+3,2;t, t;15, 30;i11, ;-3;+3d;;"* Throw break 2
* 15 damage to Anna on break";;;Anna-HAM.1+3,2;Arm Snap;;;
Left throw;t;40;;-3;+0d;;"* Throw break 1
* Can side switch on hit";;;Anna-Left throw;Torso Splitter;;;
Right throw;t;38;;-3;+0d;;"* Throw break 2
* Side switch on hit";;;Anna-Right throw;Serpentine Arm Break;;;
db+1+2;t;40;i12;-6;+0d;;* Throw break 1+2;;;Anna-db+1+2;Queen's Reward;r27;;
uf+1+2;t;30,10;i12;+0;+29d (-32);;"* Throw break 1+2
* Opponent can tech roll to reduce damage to 30
* 45 damage on wall splat
* Side switch on break, Anna recovers side turned";;;Anna-uf+1+2;"<div class=""dotlist"">

* Overhead Toss
* Jumping Flip
</div>";r27;;
