Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Recovery state;Image;Video;Wavu id;Character id
uf+4,3,4;h, L, h;23, 10, 14;i18, ,i20;-6;+5;;"* Combo from 2nd hit
* Move cannot be interrupted
* Enter SS -5 +6 with D_U";;SS;Can Opener;25;;;File:t8-p2-nina-uf+4,3,4.mp4;Nina-uf+4,3,4;nina
uf+3+4;m,t;20,13;i23~30;-23a~-16a;+2d;;"* Balcony break on meaty hit
* +9a (-1) on meaty hit
* Transition to Heel Hold (HHD) chain throw on hit if the move connects on i23, otherwise knockdown 
* Throw is unbreakable, rest of the chain throw is breakable
* Low crush 3~34
* Floating state 35~";js3~34 fs35~;FUFT;Running Jump Kick;35;FUFT;;File:t8-p2-nina-uf+3+4.mp4;Nina-uf+3+4;nina
1+2+3+4;;;;;;;"* Can't block for 5 seconds
* CH state on your next attack for 5 seconds ''(Tekken 7 and prior games)''
* 10% damage increase on the next attack for 5 seconds ''(Tekken 8 season 2 patch onward)''
* Attacks taken will be CH for 5 seconds";;;Ki Charge;55;;;File:t8-p2-nina-1+2+3+4.mp4;Nina-1+2+3+4;nina
BT+1;h;15;i8;-8;+3;;Links to 1 jab extensions;;1 jab extensions;Twist Jab;27;;;File:t8-p2-nina-bt+1.mp4;Nina-BT+1;nina
b,B+2+3;m!;50;i65;;+25a;;Cancel to r25 with b,b;;;Hunting Swan / Power Charge;30;;;File:t8-p2-nina-b+2+3.mp4;Nina-b,B+2+3;nina
d,DF+4;L;20;i20~24;-37;+14a;+55a (+39);"Faster version of df+3+4
* High crush 1~";cs1~;FC;Wipe the Floor;53;FC;;File:t8-p2-nina-d,df+4.mp4;Nina-d,DF+4;nina
db,qcf,n,DB+2+3;;;;;;;;;;;;;;;Nina-db,qcf,n,DB+2+3;nina
f,F+2;h;20;i14;-4;+32a (+24);;"* Balcony Break
* Cannot be buffered
* Transition to +6, +42d CD with F
* 4 chip damage on block";bbr chp:4;CD;Sunset Strike;35;;;File:t8-p2-nina-f,f+2.mp4;Nina-f,F+2;nina
f,F+3;M;24;i15;-14;+8;+52a;Cannot be buffered;;;Bad Habit;34;;;File:t8-p2-nina-f,f+3.mp4;Nina-f,F+3;nina
f,F+4;M;20;i28~32;-10~-6;+9g~+13g;+21a;"* Spike
* Tech roll to r32 FC on frames 29~34
* 5 recoverable self-damage on whiff without tech roll
* Clean hit on block +16g~+20g, 30 damage
* Opponent recovers crouching
* Cannot be buffered
* Low crush 4~";spk js4~;FUFT;Kneel Kick;25;FUFT;;File:t8-p2-nina-f,f+4.mp4;Nina-f,F+4;nina
f,F+1+2;M;26;i23~24;-5;+12a (+3);;"* Balcony Break
* Chip damage on block
* Cannot be buffered";bbr chp;;Bombshell Blast;32;;;File:t8-p2-nina-f,f+1+2.mp4;Nina-f,F+1+2;nina
f,F+1+2*;M;32;i33~34;+8g;+19a (+9);;"* Balcony Break
* Chip damage on block
* Cannot be buffered";bbr chp;;Bombshell Blast;35;;;;Nina-f,F+1+2*;nina
qcb;;;;;;;"* Cancel to SS with u
* Buffer to r10 SS with d
* Recovers in FC for 5 frames (21~25)
* High crush 1~20";cs1~20;SS,SWA;Sway;1?;SWA;;File:t8-p2-nina-qcb.mp4;Nina-qcb;nina
qcf;;;;;;;"* Perform WS moves with qcf,n
* Transition to r6? hFC with alternate input d,DF
** Cannot access stance moves
* High crush 1~20";cs1~20;hFC,CD;Crouch Dash / Ducking Step;1?;CD;;File:t8-p2-nina-qcf.mp4;Nina-qcf;nina
uf,n,D+3;L;15;i43;-17;-6;;"* Low crush 9~30
* Floating state 31~33
* High crush 34~53";js9~30 fs31~33 cs34~53;;;36;;;File:t8-p2-nina-d+3,2.mp4;Nina-uf,n,D+3;nina
uf,n,D+3,2;L, m;15, 18;i43, i25~27;-11~-9;+12~+14;;"* Combo from 1st CH
* Interrupt with i5 from 1st block";intr:5;;Hopping Low Kick to Right Uppercut;30;;;File:t8-p2-nina-d+3,2.mp4;Nina-uf,n,D+3,2;nina
uf,n,D+3,4;L, h;15, 14;i43, i20;-8;+1;;"* Combo from 1st CH
* Move cannot be interrupted";;;;31;;;File:t8-p2-nina-d+3,4,3.mp4;Nina-uf,n,D+3,4;nina
uf,n,D+3,4,3;L, h, m;15, 14, 20;i43, ,i29~30;-7;+22a;;"* Balcony Break
* Spike
* Combo from 2nd hit
* Combo from 1st CH
* Interrupt with i5 from 2nd block";bbr spk intr:5;;Hopping Low Kick to Easy Prey;27;;;File:t8-p2-nina-d+3,4,3.mp4;Nina-uf,n,D+3,4,3;nina
f,f,F+3;m;10;i20~21;-8;+1;;"* Low crush 4~18
* Floating state 19~21";js4~18 fs19~21;;;31;;;File:t8-p2-nina-f,f,f+3,3.mp4;Nina-f,f,F+3;nina
f,f,F+3,3;m, M;10, 20;i20~21, i32~35;-4~-1;+17a;;"* Spike
* Combo from 1st hit
* Interrupt with i8 from 1st block
* Whiffs vs SSR, SWR from 1st block
* 6 chip damage on block
* Low crush 19~34
* Floating state 35~37";spk stp:SSR intr:8 chp:6 js19~34 fs35~37;;Electric Ray;30;;;File:t8-p2-nina-f,f,f+3,3.mp4;Nina-f,f,F+3,3;nina
f,f,F+3,4;m, m;10, 21;i20~21, i24~25;-13;+34a (+19);;"* Tornado
* Combo from 1st hit
* Move cannot be interrupted";trn;;Stingray;30;;;File:t8-p2-nina-f,f,f+3,4.mp4;Nina-f,f,F+3,4;nina
f,f,F+1+2;m;30;i20~21;+4;+12a (+3);;"* Heat Engager

* Heat Dash +5, +36a (+26)

* Balcony Break
* CDf+1+2: i22~23
* 9 chip damage on block
* Low crush 5~14
* Floating state 15~17";he bbr chp:9 js5~14 fs15~17;;Spiral Bombshell Blast;32;;;File:t8-p2-nina-f,f,f+1+2.mp4;Nina-f,f,F+1+2;nina
ws1;m;17;i13~14;-6;+5;;;;;;24;;;File:t8-p2-nina-ws1,4.mp4;Nina-ws1;nina
ws1,4;m, m;17, 20;i13~14, i34~35;-3c;+21d;;"* Spike
* Interrupt with i18 from 1st block
* Interrupt with i7 from 1st block
* Whiffs vs SWL from 1st block
* Whiffs vs SSR, SWR from 1st hit
* Move can be delayed 3f
* Cancel to SS with D_U (-13/-2)";spk stp:SWL stp:SSR intr:18;SS;Diving Hornet;32;;;File:t8-p2-nina-ws1,4.mp4;Nina-ws1,4;nina
ws1,1+2;m, h,h,h;17, 6,6,6;i13~14, i25 i5 i5;-9;+8c;;"* Balcony Break
* Weapon
* Jail from 2nd block
* Combo from 1st hit
* Interrupt with i9 from 1st block
* 12 chip damage on block
* Powered up in heat
* Forces tech backroll on hit";bbr wpn intr:9 chp:12;;Fluttering Kiss Shot;40;;;File:t8-p2-nina-ws1,1+2.mp4;Nina-ws1,1+2;nina
H.ws1,1+2;m, h,h,h,h,h;17, 6,6,6,[5],[5];i13~14, i25, i5, i6, i6, i6;-2;+29a (+3);;"* Balcony Break
* Weapon
* Combo from 1st hit
* Jails from 2nd hit
* 13 chip damage on block
* Consumes 180F of remaining Heat time";bbr wpn chp:13;;Fluttering Kiss Shot;37;;;;Nina-ws1,H.1+2;nina
ws2;m;15;i15~16;-13;+28a (+18);;;;;Palm Uppercut;31;;;File:t8-p2-nina-ws2.mp4;Nina-ws2;nina
ws3;m,t;15;i13;-13;+0d;;"* Knee
* Transition to Triple Slaps chain throw automatically on standing front hit
* Throw is unbreakable, rest of the chain throw is breakable";kne;;Spider Knee;33;;;File:t8-p2-nina-ws3.mp4;Nina-ws3;nina
ws4;m;15;i11~12;-4;+7;;;;;Toe Smash;22;;;File:t8-p2-nina-ws4,2.mp4;Nina-ws4;nina
ws4,2;m, m;15, 22;i11~12, i19;-9;+36a;;"* Balcony Break
* Side roll takes 34 frames, effective startup i53
* Chip damage on block
* Interrupt with i34 from 1st block
* Interrupt with i23 from 1st hit
* Whiffs vs SSR, SW from 1st hit (Whiffs vs delayed SS/SW from 1st block)
* Cancel to r38 FC with D";bbr stp:SSR intr:34 chp;FC;Toe Smash > Spiral Explosion;31;;;File:t8-p2-nina-ws4,2.mp4;Nina-ws4,2;nina
ws4,3;m, h;15, 24;i11~12, i25;-10;+14a (+5);;"* Balcony Break
* Combo from 1st CH
* Interrupt with i6 from 1st block
* Whiffs vs SSR, SWR from 1st block";bbr stp:SSR intr:6;;Flashing Escape;36;;;File:t8-p2-nina-ws4,3,1+2.mp4;Nina-ws4,3;nina
ws4,3,1+2;m, h, h,h,h;15, 24, 6 (4),6 (3),6 (2);i11~12, ,i28 i5 i5;-9;+8c;;"* Balcony Break
* Jail from 3rd block
* Aerial combo from 2nd hit (+24a (-9))
* Interrupt with i2 from 1st block
* 12 chip damage on block
* Powered up in heat
* Forces tech backroll on hit";bbr intr:2 chp:12;;Haematopus Kiss Shot;40;;;File:t8-p2-nina-ws4,3,1+2.mp4;Nina-ws4,3,1+2;nina
H.ws4,3,1+2;m, h, h,h,h,h,h;15, 24, 6 (4),6 (3),6 (2),[5] ([1]),[5] ([1]);i11~12, ,i28, i5, i5, i6, i6;-2;+29a (+3);;"* Balcony Break
* Weapon
* Aerial combo from 2nd hit (+13a (+12))
* Jails from 3rd hit
* 13 chip damage on block
* Consumes 180F of remaining Heat time";bbr wpn chp:13;;Haematopus Kiss Shot;37;;;;Nina-ws4,3,H.1+2;nina
ws3+4;m;21;i18~19;-17;+36a (+26);;* Tornado;trn;;Geyser Cannon;37;;;;Nina-ws3+4;nina
SS.1;m;15;i14~15;-10;+3;;"* Enter CD +10g +23g with F
* Enter SWA +10g +23g with B";;CD,SWA;Snakeshot;26;;;File:t8-p2-nina-ss.1.mp4;Nina-SS.1;nina
SS.1,2;m, m;15, 15;i14~15, i16~18;-3;+3;;* Jail from 1st block;;;Double Shot;20;;;File:t8-p2-nina-ss.1,2.mp4;Nina-SS.1,2;nina
SS.2;m;15;i13~14;-14;+33a (+23);;;;;Lift Shot;32;;;File:t8-p2-nina-ss.2.mp4;Nina-SS.2;nina
SS.4;L;14;i20;-14;+6c;;"Sidestep adds minimum 9f, effective startup i29
* High crush 6~39";cs6~39;;Heel Slicer;33;;;File:t8-p2-nina-ss.4,2.mp4;Nina-SS.4;nina
SS.4,2;L, h;14, 22;i20, i22;-7;+11cg;;"* Tornado
* Balcony Break
* Combo from 1st CH
* Interrupt with i3 from 1st block
* Forces tech back roll on hit
* 6 chip damage on block";trn bbr intr:3 chp:6;;Tranquilizer;37;;;File:t8-p2-nina-ss.4,2.mp4;Nina-SS.4,2;nina
SS.1+2;m;22;i19;-8;+3;+37a;"* Balcony Break
* Sidestep adds minimum 9f, effective startup i28
* 6 chip damage on block";bbr chp:6;;Spiral Explosion;31;;;File:t8-p2-nina-ss.1+2.mp4;Nina-SS.1+2;nina
SS.1+2,1+2;m, sm,sm;22, 8,8;i19, i30,i5;-9;+16a (+16);;"* Balcony Break
* Weapon
* Only occurs on 1st hit hit or block
* Combos from 1st hit
* Jails from 1st block
* 6 chip damage on block";bbr wpn chp:6;;Spiral Kiss Shot;40;;;;Nina-SS.1+2,1+2;nina
H.SS.1+2,1+2;m, sm,sm,sm,sm;22, 8,8,[5],[5];i19, i30,i5,i6,i6;-2;+29a (+3);;"* Balcony Break
* Weapon
* Combo from 1st hit
* Jails from 1st block
* 10 chip damage on block
* Consumes 180F of remaining Heat time";bbr wpn chp:10;;Spiral Kiss Shot;37;;;;Nina-SS.1+2,H.1+2;nina
FC.df+2;m;30;i14;-11;-4d;;Removes Recoverable Health;;;Sadistic Cupid;;;;File:t8-p2-nina-fc.df+2.mp4;Nina-FC.df+2;nina
(back to wall).b,b,UB;m;21;i35~38;+1;+34d;;"* Floating state 5~7
* is8~24
* Floating state 25~33
* Low crush 34~37
* Floating state 38~40";fs5~7 is8~24 fs25~33 js34~37 fs38~40;BT;Wall Jump Backflip;17;BT;;;Nina-(back to wall).b,b,UB;nina
qcf+1;h;21;i14~16;+1~+3;+3~+5;+47a (+37);"* 5 chip damage on block,
* bufferable";chp:5;;Hellbringer;26;;;File:t8-p2-nina-cd.1.mp4;Nina-CD.1;nina
qcf+2;M;25;i16~17;-8;+32a (+17);;"* Heat Engager

* Heat Dash +5, +42a (+27)

* Balcony Break";he bbr;;Shut Up;32;;;File:t8-p2-nina-cd.2.mp4;Nina-CD.2;nina
qcf+3;L;17;i19~28;-20~-11;+0c~+9c;+21a;* High crush 10~49;cs10~49;;Sideslip;30;;;File:t8-p2-nina-cd.3.mp4;Nina-CD.3;nina
qcf+4;m;15;i14;-8;+6s;;Knee;kne;;;36;;;File:t8-p2-nina-cd.4,3,1+2.mp4;Nina-CD.4;nina
qcf+4,3;m, h;15, 23;i14, i25;-10;+14a (+5);;"* Balcony Break
* Combo from 1st hit with 4f delay
* Move cannot be interrupted
* Move can be delayed 3f";bbr;;;36;;;File:t8-p2-nina-cd.4,3,1+2.mp4;Nina-CD.4,3;nina
qcf+4,3,1+2;m, h, h,h,h;15, 23, 6,6,6;i14, ,i28,i5,i5;-9;+8c;;"* Balcony Break
* Weapon
* Aerial combo from 1st hit (+24a (-9))
* Interrupt with i2 from 2nd block
* 12 chip damage on block
* Powered up in heat
* Forces tech backroll on hit";bbr wpn intr:2 chp:12;;Lapwing Kiss Shot;40;;;File:t8-p2-nina-cd.4,3,1+2.mp4;Nina-CD.4,3,1+2;nina
H.qcf+4,3,1+2;m, h, h,h,h,h,h;15, 23, 6 (4),6 (3),6 (2),[5] ([1]),[5] ([1]);i14, ,i28, i5, i5, i6, i6;-2;+29a (+3);;"* Balcony Break
* Weapon
* Aerial combo from 2nd hit (+13a (+12))
* Jails from 3rd hit
* 13 chip damage on block
* Consumes 180F of remaining Heat time";bbr wpn chp:13;;Lapwing Kiss Shot;37;;;;Nina-H.CD.4,3,1+2;nina
qcf+2+3;h!;"[10;10]";i24~38;;+36g~+50g;;"* Opponent can recover in crouch on hit with D
* High crush 1~37";cs1~37;;Evil Mist;0;;;File:t8-p2-nina-cd.2+3.mp4;Nina-CD.2+3;nina
OTG.d+3+4;L;30;i17~18;-17;-7d;;Spike;spk;;Twisted Mind;35?;;;;Nina-OTG.d+3+4;nina
qcb+4;M;20;i19~20;-12;+68a (+52);;* Tornado;trn;;Ice Pick;35;;;File:t8-p2-nina-swa.b+4.mp4;Nina-SWA.b+4;nina
hFC.1;sl;5;i10;-5;+6;;"* Transition to r24 with f
* +6c on crouching hit
* High crush 1~";cs1~;FC;Crouch Jab;24;FC;;;Nina-hFC.1;nina
hFC.1,4;sl, m;5, 10;i10, i16~17;-11;+0;;Combo from 1st CH;;;;29;;;;Nina-hFC.1,4;nina
hFC.2;sl;8;i11;-4;+7;;"* +7c on crouching hit
* High crush 1~";cs1~;FC;Crouch Straight;23;FC;;;Nina-hFC.2;nina
hFC.3;L;10;i16;-17;-6;;"* -6c on crouching hit
* High crush 1~";cs1~;FC;Crouch Spin Kick;36;FC;;;Nina-hFC.3;nina
hFC.4;l;6;i12;-15;-4;;"* -4c on crouching hit
* High crush 1~";cs1~;FC;Crouch Shin Kick;34;FC;;;Nina-hFC.4;nina
1+3;t;35;i12~14;-6;-2;;"* Homing
* Throw break 1 or 2
* Opponent recovers FUFA";hom;;Arm Grab Flip;31;;;File:t8-p2-nina-1+3.mp4;Nina-1+3;nina
2+4;t;35;i12~14;+0;+0d;;"* Homing
* Throw break 1 or 2
* Side switch
* Nina recovers BT";hom;;Over the Back Toss;31;;;File:t8-p2-nina-2+4.mp4;Nina-2+4;nina
2+4,2;t;25;;+0;-5d;;"* Unbreakable
* Side switch";;;Shoulder Through Buster (STB);;;;File:t8-p2-nina-2+4,2.mp4;Nina-2+4,2;nina
ABK.1;t;15;;-3;+0d;;"*
Removes Recoverable Health
* Throw break 1
* Powered up input: ABK.3,1,1+2";;;Double Arm Break;;;;;Nina-ABK.1;nina
ABK.1;t;15;;-3;+0d;;"* Removes Recoverable Health
* Throw break 1
* Powered up input: ABK.3,1,1+2";;;Double Arm Break;;;;;Nina-ABK.1;nina
ABK.2;t;15;;-3;+3d;;"* Removes Recoverable Health
* Throw break 2
* Powered up input: ABK.1,2,3,4,1+2";;;Falling Arm Break;;;;;Nina-ABK.2;nina
ABK.2;t;15;;-3;+3d;;"* Removes Recoverable Health
* Throw break 2
* Powered up input: ABK.2,1,3,4,1+2";;;Falling Arm Break;;;;;Nina-ABK.2;nina
BHS.1;t;8;;-3;+3d;;"* Throw break 1
* Powered up input: BHS.1,3,1
* Alternate input: BTR.1";;;Arm Break (ABK);;;;;Nina-BHS.1;nina
BHS.2;t;9,6;;-3;+0d;;"* Throw break 2
* Powered up input: BHS.2,3,4,2
* Listed in previous games as Triple Slaps";;;Stomach Lock (TSS);;;;File:t8-p2-nina-bhs.2.mp4;Nina-BHS.2;nina
BHS.1+2;t;10,10;;-3;+3d;;"* Removes Recoverable Health
* Throw break 1+2
* Can side switch on hit
* Powered up input: BHS.3,4,3,1+2";;;Seoi Gyaku Juji-gatame;;;;File:t8-p2-nina-bhs.1+2.mp4;Nina-BHS.1+2;nina
BTR.1;t;13;;-3;+4d;;"* Throw break 1
* Powered up input: BTR.1,3,1";;;Arm Break (ABK);;;;;Nina-BTR.1;nina
BTR.2;t;10;;-3;+3d;;"* Throw break 2
* Powered up input: BTR.2,1,1+2";;;Twisted Nightmare (NTM);;;;File:t8-p2-nina-btr.2.mp4;Nina-BTR.2;nina
Back throw;t;60;;;+3d;;"* Removes Recoverable Health
* Unbreakable
* Can side switch on hit";;;Leaping Triangle Hold;;;;;Nina-Back throw;nina
CHD.1;t;25;;+0d;+3d;;"* Removes Recoverable Health
* Throw break 1
* Powered up input: CHD.3,4,1+2";;;Commando Arm Lock;;;;File:t8-p2-nina-chd.1.mp4;Nina-CHD.1;nina
CHD.2;t;8;;+0d;+7;;"* Throw break 2
* Powered up input: CHD.4,2,1+2";;;Heel Hold (HHD);;;;File:t8-p2-nina-chd.2.mp4;Nina-CHD.2;nina
HHD.1;t;20;;-9;+3;;"* Removes Recoverable Health
* Throw break 1
* Powered up input: HHD.3,4,2+4
* Alternate name: Double Snap";;;Kneebar;;;;;Nina-HHD.1;nina
HHD.2;t;25;;-9;+0d;;"* Removes Recoverable Health
* Throw break 2
* Powered up input: HHD.1,3,2+4,1+2";;;Double Heel Hold;;;;File:t8-p2-nina-hhd.2.mp4;Nina-HHD.2;nina
Left throw;t;40;;-3;+1d;;"* Removes Recoverable Health
* Throw break 1
* Can side switch on hit";;;Kneebar;;;;;Nina-Left throw;nina
NTM.1;t;15;;-3;+3d;;"* Removes Recoverable Health
* Throw break 1
* Powered up input: NTM.1,1,2,1+2";;;Neck Crusher;;;;;Nina-NTM.1;nina
NTM.2;t;25;;-3;+3d;;"* Removes Recoverable Health
* Throw break 2
* Powered up input: NTM.1,2,4,3,1+3";;;Leg Stretch Arm Lock;;;;;Nina-NTM.2;nina
Right throw;t;38;;-3;+1d;;Throw break 2;;;Hammer Throw;;;;;Nina-Right throw;nina
STB.2;t;30;;+0;-6d;;"* Removes Recoverable Health
* Unbreakable
* Side switch
* Powered up input: STB.2,1,3";;;Shoulder Through Arm Breaker;;;;File:t8-p2-nina-stb.2.mp4;Nina-STB.2;nina
TSS.1;t;15;;-3;+0d;;"* Removes Recoverable Health
* Throw break 1
* Powered up input: TSS.1,1,2,1+2";;;Neck Crusher;;;;;Nina-TSS.1;nina
TSS.2;t;20;;;+3d;;"* Removes Recoverable Health
* Throw break 2
* Powered up input: TSS.1,2,4,3,1+3";;;Leg Stretch Arm Lock;;;;;Nina-TSS.2;nina
df,df+1;t;43;i12;-6;-2d;;"* Floor Break
* Throw break 1+2";fbr;;Elbow Smash;27;;;File:t8-p2-nina-df,df+1.mp4;Nina-df,df+1;nina
df+1+3;t;37;i11;-2;+1d;;Throw break 1;;;Elbow > Arm Grab Flip;28;;;File:t8-p2-nina-df+1+3.mp4;Nina-df+1+3;nina
df+2+4;t;37;i11;-2;+1d;;"* Removes Recoverable Health
* Throw break 2
* Side switch on hit";;;Reverse Neck Breaker;28;;;File:t8-p2-nina-df+2+4.mp4;Nina-df+2+4;nina
f+1+3;t;15;i13;-2;+1d;;"* Throw break 1
* Alternate input: qcf+1+3";;;Crab Hold (CHD);28;;;File:t8-p2-nina-f+1+3.mp4;Nina-f+1+3;nina
f+2+4;t;15;i13;-2;+0;;"* Throw break 2
* Alternate input: qcf+2+4";;;Backhand Slap (BHS);28;;;File:t8-p2-nina-f+2+4.mp4;Nina-f+2+4;nina
qcb,B+1+3;t;15;i12;;+6c;;"* Unbreakable
* qcb,B+2+4";;;Betrayer (BTR);27;;;File:t8-p2-nina-qcb,b+1+3.mp4;Nina-qcb,B+1+3;nina
uf+1+2;t;30,10;i12;+0;+29a (-32);;;;;Jumping Flip;28;;;File:t8-p2-nina-uf+1+2.mp4;Nina-uf+1+2;nina
uf+3+4;t;18;i23;-23a~-16a;+9a (-1);;"* Transitions to throw on front hit
* Throw break 2
* Low crush 3~";js3~;FUFT;Leaping Heel Hold (HHD);35;FUFT;;;Nina-uf+3+4;nina
