Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Wavu id;Name;Recovery;Image;Video
WRA.4,2,2,1+2;M,M,m,h,m;6,8,8,4,22;,i24~25;-20;+24 (+3);;"* Balcony Break
* Blue spark with input qcf+1+2 for 6 extra damage
* Combo from 4th hit without delay
* Can be delayed";bbr;Reina-WRA.4,2,2,1+2;Kongo Gekimetsujin;r45;;File:Reina-WRA.4,2,2,1+2.mp4
WRA.1+2;m;30;i15~16;-13;+16d;;"* Balcony Break
Power crush 6~14";bbr pc6~14;Reina-WRA.1+2;Demon Bolt;r33;;File:Reina-WRA.1+2.mp4
WRA.3+4;M;26;i18~19;-5;+5d;;"* Spike
* Deals chip damage on block
* Opponent is FDFA on normal hit";spk;Reina-WRA.3+4;Goma Sai;r34;;File:Reina-WRA.3+4.mp4
WRA.d+4;L;9;i16~17;-15;-4;+2;High crush 6~;cs6~;Reina-WRA.d+4;;r33 FC;;File:Reina-WRA.d+4.mp4
WRA.d+4,3;L,m;9,20;,i21~22;-16;+48 (+17);+53a;"* Combo from 1st CH with 14f delay
* Input can be delayed 15f
* Move can be delayed 13f
* CH-confirmable";;Reina-WRA.d+4,3;Harai Kuzushi-manji;r37;;File:Reina-WRA.d+4,3.mp4
1+3;th(h);35;i12~14;-3;+0;;"* Throw break 1 or 2
* Spike
* Opponent recovery on hit: FUFA off-axis to the left";spk;Reina-1+3;Gekka Hyojin;;;File:Reina-1+3.mp4
2+4;th(h);35;i12~14;-6;+0;;"* Throw break: 1 or 2
* Opponent recovery on hit: FUFA
* Side switch on Hit or Throw break";;Reina-2+4;Saijin Ikkoku;;;File:Reina-2+4.mp4
Back throw;th(h);50;i12~14;;+0;;"* Break: none
* Opponent recovery on hit: FDFA";;Reina-Back throw;Trailokyavijaya;;;File:Reina-Back_Throw.mp4
Left throw;th(h);40;i12~14;-3;+0;;"* Throw break: 1
* Opponent recovery on hit: FUFA off-axis to the left";;Reina-Left throw;Gekka Hyojin;;;File:Reina-Left_Throw.mp4
Right throw;th(h);40;i12~14;-3;+0;;"* Throw break 2
* Opponent recovery on hit: FUFA";;Reina-Right throw;Saijin Ikkoku;;;File:Reina-Right_Throw.mp4
SEN.1+3;th(h);12;i16;;-3;;"* Throw break: none
* Opponent recovery on hit: FUFA";;Reina-SEN.1+3;Haburi-kaze;;;File:Reina-SEN.1+3.mp4
WRA.1+3;t (h);20;i16;;+10d;;"* Unbreakable
* Opponent recovery on hit: FUFT
* Does 35 damage on wall hit";;Reina-WRA.1+3;"Heaven&#039;s Roar";;;File:Reina-WRA.1+3.mp4
d,db,b,f+2;th(h);40;i12;-3;+0;;"* Balcony Break
* Throw break: 2
* Opponent recovery on hit: FUFT";bbr;Reina-qcb,f+2;Raidou Hitsumetsu;;;File:Reina-d,db,b,f+2.mp4
uf+1+2;th(h);35;i12;-6;+25 (+8);;"* Balcony Break
* Throw break: 1+2
* Side switch on Throw break";bbr;Reina-uf+1+2;Stonehead;;;File:Reina-uf+1+2.mp4
